Country Name,Region,iefRank2015,ief2015,iso3
"Korea, North ",Asia-Pacific,178,1.3,PRK
Cuba,South and Central America / Caribbean,177,29.6,CUB
Venezuela,South and Central America / Caribbean,176,34.3,VEN
Zimbabwe,Sub-Saharan Africa,175,37.6,ZWE
Eritrea,Sub-Saharan Africa,174,38.9,ERI
Equatorial Guinea,Sub-Saharan Africa,173,40.4,GNQ
Turkmenistan,Asia-Pacific,172,41.4,TKM
Iran,Middle East / North Africa,171,41.8,IRN
"Congo, Republic of",Sub-Saharan Africa,170,42.7,COG
Argentina,South and Central America / Caribbean,169,44.1,ARG
"Congo, Democratic Republic of the Congo",Sub-Saharan Africa,168,45,COD
Timor-Leste,Asia-Pacific,167,45.5,TLS
Central African Republic,Sub-Saharan Africa,166,45.9,CAF
Chad,Sub-Saharan Africa,165,45.9,TCD
Kiribati,Asia-Pacific,164,46.4,KIR
Bolivia,South and Central America / Caribbean,163,46.8,BOL
Burma,Asia-Pacific,161,46.9,MMR
Ukraine,Europe,162,46.9,UKR
Solomon Islands,Asia-Pacific,159,47,SLB
Uzbekistan,Asia-Pacific,160,47,UZB
Angola,Sub-Saharan Africa,158,47.9,AGO
Algeria,Middle East / North Africa,157,48.9,DZA
Ecuador,South and Central America / Caribbean,156,49.2,ECU
Lesotho,Sub-Saharan Africa,155,49.6,LSO
Micronesia,Asia-Pacific,154,49.6,FSM
Belarus,Europe,153,49.8,BLR
Haiti,South and Central America / Caribbean,151,51.3,HTI
Nepal,Asia-Pacific,152,51.3,NPL
Lao P.D.R.,Asia-Pacific,150,51.4,LAO
Ethiopia,Sub-Saharan Africa,149,51.5,ETH
Sierra Leone,Sub-Saharan Africa,147,51.7,SLE
Vietnam,Asia-Pacific,148,51.7,VNM
Cameroon,Sub-Saharan Africa,146,51.9,CMR
Guinea-Bissau,Sub-Saharan Africa,145,52,GNB
Comoros,Sub-Saharan Africa,142,52.1,COM
Guinea,Sub-Saharan Africa,144,52.1,GIN
Russia,Europe,143,52.1,RUS
China,Asia-Pacific,139,52.7,CHN
Liberia,Sub-Saharan Africa,141,52.7,LBR
Tajikistan,Asia-Pacific,140,52.7,TJK
Togo,Sub-Saharan Africa,138,53,TGO
Papua New Guinea,Asia-Pacific,137,53.1,PNG
Mauritania,Sub-Saharan Africa,135,53.3,MRT
S_o Tom_ and Pr—ncipe,Sub-Saharan Africa,136,53.3,STP
Maldives,Asia-Pacific,134,53.4,MDV
Burundi,Sub-Saharan Africa,132,53.7,BDI
Yemen,Middle East / North Africa,133,53.7,YEM
Bangladesh,Asia-Pacific,131,53.9,BGD
Greece,Europe,130,54,GRC
Suriname,South and Central America / Caribbean,129,54.2,SUR
India,Asia-Pacific,128,54.6,IND
Niger,Sub-Saharan Africa,127,54.6,NER
Malawi,Sub-Saharan Africa,126,54.8,MWI
Mozambique,Sub-Saharan Africa,125,54.8,MOZ
Egypt,Middle East / North Africa,124,55.2,EGY
Guyana,South and Central America / Caribbean,123,55.5,GUY
Kenya,Sub-Saharan Africa,122,55.6,KEN
Nigeria,Sub-Saharan Africa,120,55.6,NGA
Pakistan,Asia-Pacific,121,55.6,PAK
Mali,Sub-Saharan Africa,119,56.4,MLI
Brazil,South and Central America / Caribbean,118,56.6,BRA
Belize,South and Central America / Caribbean,117,56.8,BLZ
Bhutan,Asia-Pacific,115,57.4,BTN
Honduras,South and Central America / Caribbean,116,57.4,HND
Cambodia,Asia-Pacific,110,57.5,KHM
Djibouti,Sub-Saharan Africa,112,57.5,DJI
Gambia,Sub-Saharan Africa,113,57.5,GMB
Moldova,Europe,111,57.5,MDA
Seychelles,Sub-Saharan Africa,114,57.5,SYC
Tanzania,Sub-Saharan Africa,109,57.5,TZA
Nicaragua,South and Central America / Caribbean,108,57.6,NIC
Tunisia,Middle East / North Africa,107,57.7,TUN
Senegal,Sub-Saharan Africa,106,57.8,SEN
Indonesia,Asia-Pacific,105,58.1,IDN
Gabon,Sub-Saharan Africa,104,58.3,GAB
C_te d'Ivoire,Sub-Saharan Africa,103,58.5,CIV
Burkina Faso,Sub-Saharan Africa,102,58.6,BFA
Sri Lanka,Asia-Pacific,101,58.6,LKA
Zambia,Sub-Saharan Africa,100,58.7,ZMB
Benin,Sub-Saharan Africa,99,58.8,BEN
Bosnia and Herzegovina,Europe,97,59,BIH
Fiji,Asia-Pacific,98,59,FJI
Mongolia,Asia-Pacific,96,59.2,MNG
Lebanon,Middle East / North Africa,94,59.3,LBN
Tonga,Asia-Pacific,95,59.3,TON
Namibia,Sub-Saharan Africa,93,59.6,NAM
Uganda,Sub-Saharan Africa,92,59.7,UGA
Swaziland,Sub-Saharan Africa,91,59.9,SWZ
Serbia,Europe,90,60,SRB
Morocco,Middle East / North Africa,89,60.1,MAR
Slovenia,Europe,88,60.3,SVN
Guatemala,South and Central America / Caribbean,87,60.4,GTM
Azerbaijan,Asia-Pacific,85,61,AZE
Dominican Republic,South and Central America / Caribbean,86,61,DOM
Paraguay,South and Central America / Caribbean,83,61.1,PRY
Vanuatu,Asia-Pacific,84,61.1,VUT
Kyrgyz Republic,Asia-Pacific,82,61.3,KGZ
Croatia,Europe,81,61.5,HRV
Italy,Europe,80,61.7,ITA
Madagascar,Sub-Saharan Africa,79,61.7,MDG
Samoa,Asia-Pacific,78,61.9,WSM
Saudi Arabia,Middle East / North Africa,77,62.1,SAU
Philippines,Asia-Pacific,76,62.2,PHL
Thailand,Asia-Pacific,75,62.4,THA
France,Europe,73,62.5,FRA
Kuwait,Middle East / North Africa,74,62.5,KWT
South Africa,Sub-Saharan Africa,72,62.6,ZAF
Ghana,Sub-Saharan Africa,71,63,GHA
Turkey,Europe,70,63.2,TUR
Kazakhstan,Asia-Pacific,69,63.3,KAZ
Panama,South and Central America / Caribbean,68,64.1,PAN
Trinidad and Tobago,South and Central America / Caribbean,67,64.1,TTO
Montenegro,Europe,66,64.7,MNE
Rwanda,Sub-Saharan Africa,65,64.8,RWA
Portugal,Europe,64,65.3,PRT
Albania,Europe,63,65.7,ALB
El Salvador,South and Central America / Caribbean,62,65.7,SLV
Dominica,South and Central America / Caribbean,61,66.1,DMA
Cabo Verde,Sub-Saharan Africa,60,66.4,CPV
Mexico,North America,59,66.4,MEX
Malta,Europe,58,66.5,MLT
Romania,Europe,57,66.6,ROU
Oman,Middle East / North Africa,56,66.7,OMN
Bulgaria,Europe,55,66.8,BGR
Hungary,Europe,54,66.8,HUN
Armenia,Europe,52,67.1,ARM
Macedonia,Europe,53,67.1,MKD
Costa Rica,South and Central America / Caribbean,51,67.2,CRI
Slovak Republic,Europe,50,67.2,SVK
Spain,Europe,49,67.6,ESP
Jamaica,South and Central America / Caribbean,48,67.7,JAM
Peru,South and Central America / Caribbean,47,67.7,PER
Barbados,South and Central America / Caribbean,46,67.9,BRB
Cyprus,Europe,45,67.9,CYP
Saint. Vincent and the Grenadines,South and Central America / Caribbean,44,68,VCT
Poland,Europe,42,68.6,POL
Uruguay,South and Central America / Caribbean,43,68.6,URY
Bahamas,South and Central America / Caribbean,41,68.7,BHS
Belgium,Europe,40,68.8,BEL
Brunei Darussalam,Asia-Pacific,39,68.9,BRN
Jordan,Middle East / North Africa,38,69.3,JOR
Latvia,Europe,37,69.7,LVA
Botswana,Sub-Saharan Africa,36,69.8,BWA
Saint. Lucia,South and Central America / Caribbean,35,70.2,LCA
Macau,Asia-Pacific,34,70.3,MAC
Israel,Middle East / North Africa,33,70.5,ISR
Malaysia,Asia-Pacific,31,70.8,MYS
Qatar,Middle East / North Africa,32,70.8,QAT
Austria,Europe,30,71.2,AUT
"Korea, South",Asia-Pacific,29,71.5,KOR
Colombia,South and Central America / Caribbean,28,71.7,COL
Norway,Europe,27,71.8,NOR
Iceland,Europe,26,72,ISL
United Arab Emirates,Middle East / North Africa,25,72.4,ARE
Czech Republic,Europe,24,72.5,CZE
Sweden,Europe,23,72.7,SWE
Georgia,Europe,22,73,GEO
Luxembourg,Europe,21,73.2,LUX
Japan,Asia-Pacific,20,73.3,JPN
Bahrain,Middle East / North Africa,18,73.4,BHR
Finland,Europe,19,73.4,FIN
Netherlands,Europe,17,73.7,NLD
Germany,Europe,16,73.8,DEU
Lithuania,Europe,15,74.7,LTU
